date,ticker,atm_iv
2026-08-10,NVDA,33.14
2026-08-10,TSLA,36.51
2026-08-10,GLD,23.78
2026-08-10,BE,103.05
2026-08-10,VST,49.48
2026-08-10,AMZN,28.77
2026-08-10,SPCX,84.14
2026-08-10,NVTS,108.56
2026-08-10,VRT,67.92
2026-08-10,SLV,43.33
2026-08-10,PLTR,52.17
2026-08-10,AAPL,23.04
2026-08-10,GOOG,29.61
2026-08-10,IREN,103.03
2026-08-10,NBIS,129.86
2026-08-10,NOW,55.95
2026-08-10,WMT,39.8
2026-08-10,NVDA,32.81
2026-08-10,TSLA,36.3
2026-08-10,GLD,25.5
2026-08-10,BE,104.89
2026-08-10,VST,49.52
2026-08-10,AMZN,27.82
2026-08-10,SPCX,85.06
2026-08-10,NVTS,98.89
2026-08-10,VRT,65.46
2026-08-10,SLV,46.43
2026-08-10,PLTR,50.57
2026-08-10,AAPL,22.18
2026-08-10,GOOG,29.86
2026-08-10,IREN,101.31
2026-08-10,NBIS,123.59
2026-08-10,NOW,53.85
2026-08-10,WMT,39.49
2026-08-11,NVDA,31.86
2026-08-11,TSLA,34.27
2026-08-11,GLD,22.62
2026-08-11,BE,94.42
2026-08-11,VST,46.47
2026-08-11,AMZN,27.01
2026-08-11,SPCX,73.04
2026-08-11,NVTS,94.06
2026-08-11,VRT,65.04
2026-08-11,SLV,41.01
2026-08-11,PLTR,48.14
2026-08-11,AAPL,21.45
2026-08-11,GOOG,30.14
2026-08-11,IREN,97.34
2026-08-11,NBIS,125.95
2026-08-11,NOW,52.05
2026-08-11,WMT,40.41
